movieID,Year,Director,Actors,Languages
83,1995,Tim Reid,Al Freeman Jr.|Phylicia Rashad|Leon,English
84,1995,Henry Jaglom,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz,English
85,1995,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit,English
86,1996,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage,English|Danish|Spanish
87,1996,Ken Kwapis,Jason Alexander|Faye Dunaway|Eric Lloyd,English|French
88,1996,Penelope Spheeris,Chris Farley|David Spade|Tim Matheson,English
89,1995,John Badham,Johnny Depp|Christopher Walken|Courtney Chase,English
90,1995,John Duigan,Jason Patric|Thandie Newton|Larry Drake,English
92,1996,Stephen Frears,Julia Roberts|John Malkovich|George Cole,English
93,1995,Wes Craven,Eddie Murphy|Angela Bassett|Allen Payne,English
94,1996,Ted Demme,Matt Dillon|Timothy Hutton|Noah Emmerich,English
95,1996,John Woo,John Travolta|Christian Slater|Samantha Mathis,English
96,1995,Kenneth Branagh,Michael Maloney|Richard Briers|Hetta Charnley,English
97,1995,Mathieu Kassovitz,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui,French
98,1994,Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee,English
99,1995,Nick Broomfield,Nick Broomfield|Madam Alex|Corinne Bohrer,English
100,1996,Harold Becker,Al Pacino|John Cusack|Bridget Fonda,English
101,1996,Wes Anderson,Luke Wilson|Owen Wilson|Ned Dowd,English|Spanish
102,1996,Nick Castle,Ellen DeGeneres|Bill Pullman|Joan Cusack,English
103,1996,John Dahl,Ray Liotta|Linda Fiorentino|Peter Coyote,English|Spanish
104,1996,Dennis Dugan,Adam Sandler|Christopher McDonald|Julie Bowen,English
105,1995,Clint Eastwood,Clint Eastwood|Meryl Streep|Annie Corley,English
106,1994,Doris Dörrie,Maria Schrader|Pierre Sanoussi-Bliss|Michael von Au,German
107,1996,Brian Henson,Tim Curry|Billy Connolly|Jennifer Saunders,English
108,1995,Robert Leacock,Christy Turlington|Azzedine Alaïa|Giorgio Armani,English
109,1995,James Bruce,Raymond J. Barry|Rustam Branaman|Jennifer MacDonald,English
110,1995,Mel Gibson,Mel Gibson|Sophie Marceau|Patrick McGoohan,English|French|Latin|Scottish Gaelic
111,1976,Martin Scorsese,Robert De Niro|Jodie Foster|Cybill Shepherd,English|Spanish
112,1995,Stanley Tong,Jackie Chan|Anita Mui|Françoise Yip,Cantonese|English
113,1996,Barbet Schroeder,Meryl Streep|Liam Neeson|Edward Furlong,English
114,1995,Mort Ransen,Helena Bonham Carter|Kate Nelligan|Clive Russell,English|Scottish Gaelic|Cantonese
115,1995,Étienne Chatiliez,Michel Serrault|Eddy Mitchell|Sabine Azéma,French
116,1995,Jon Blair,Kenneth Branagh|Glenn Close|Janny Brandes-Brilslijper,English
117,1995,Benjamin Ross,Hugh O'Conor|Antony Sher|Tobias Arnold,English
118,1996,Eric Schaeffer,Sarah Jessica Parker|Eric Schaeffer|Ben Stiller,English
119,1995,Andrew Davis,Andy Garcia|Alan Arkin|Rachel Ticotin,English
120,1996,Charles T. Kanganis,Halle Berry|Jim Belushi|Bill Hunter,English|Hawaiian|Russian
121,1992,John N. Smith,Henry Czerny|Johnny Morina|Brian Dooley,English
122,1992,Reginald Hudlin,Eddie Murphy|Robin Givens|Halle Berry,English|French
123,1994,Kar-Wai Wong,Brigitte Lin|Takeshi Kaneshiro|Tony Chiu Wai Leung,Cantonese|English|Japanese|Hindi|Mandarin
124,1995,Giuseppe Tornatore,Sergio Castellitto|Tiziana Lodato|Franco Scaldati,Italian|Sicilian|Spanish
125,1996,David O. Russell,Ben Stiller|Patricia Arquette|Téa Leoni,English
126,1994,Peter MacDonald,Jason James Richter|Melody Kay|Jack Black,English
127,1994,Moufida Tlatli,Amel Hedhili|Najia Ouerghi|Hend Sabry,Arabic|French
128,1995,Michel Negroponte,Maggie Cogan|Katina Pendleton,English
129,1996,Bryan Gordon,Josh Charles|Anne Heche|John Goodman,English
130,1995,Rebecca Miller,Miranda Rhyne|Charlotte Eve Blythe|Anna Levine,English
131,1995,Michael Lindsay-Hogg,Matt Dillon|Anne Parillaud|Gabriel Byrne,English
132,1995,William Friedkin,David Caruso|Linda Fiorentino|Chazz Palminteri,English
133,1995,Ángel Muñiz,Luisito Martí|Caridad Ravelo|Raúl Carbonell,Spanish|English
134,1995,Craig Baldwin,Lloyd Dunn|Chris Grigg|Mark Hosler,English
135,1996,David S. Ward,Kelsey Grammer|Lauren Holly|Rob Schneider,English
136,1995,Mark Rappaport,Mary Beth Hurt|Jean Seberg,English
137,1995,Dirk Shafer,Vivian Paxton|Claudette Sutherland|Michael Ornstein,English|Yiddish
138,1995,Terence Davies,Jacob Tierney|Drake Bell|Gena Rowlands,English
139,1995,Sandip Ray,Mohan Agashe|Barun Chakraborty|Champa,Hindi|Bengali
140,1996,Jon Avnet,Robert Redford|Michelle Pfeiffer|Stockard Channing,English
141,1996,Mike Nichols,Robin Williams|Nathan Lane|Gene Hackman,English
142,1988,Jerzy Kaszubowski,Zygmunt Bielawski|Jerzy Binczycki|Mieczyslaw Janowski,Polish|English|German
142,1988,Jerzy Kaszubowski,Zygmunt Bielawski|Jerzy Binczycki|Mieczyslaw Janowski,Polish|English|German
143,1995,Jakov Sedlar,Martin Sheen|Michael York|Morgan Fairchild,Serbo-Croatian|Croatian|English
144,1995,Edward Burns,Jack Mulcahy|Michael McGlone|Edward Burns,English
145,1995,Michael Bay,Will Smith|Martin Lawrence|Lisa Boyle,English
146,1995,Christopher Cain,Stephen Lang|Ryan Slater|Yi Ding,English
147,1995,Scott Kalvert,Leonardo DiCaprio|Lorraine Bracco|Marilyn Sokol,English
148,1995,Mike Newell,Hugh Grant|Alan Rickman|Georgina Cates,English
149,1994,Hal Hartley,Isabelle Huppert|Martin Donovan|Elina Löwensohn,English
150,1995,Ron Howard,Tom Hanks|Bill Paxton|Kevin Bacon,English
151,1995,Michael Caton-Jones,Liam Neeson|Jessica Lange|John Hurt,English
152,1995,Abel Ferrara,Lili Taylor|Christopher Walken|Annabella Sciorra,English
153,1995,Joel Schumacher,Val Kilmer|Tommy Lee Jones|Jim Carrey,English
154,1967,Luis Buñuel,Catherine Deneuve|Jean Sorel|Michel Piccoli,French|Spanish|Mongolian
155,1995,John Boorman,Patricia Arquette|U Aung Ko|Frances McDormand,English
156,1995,Paul Auster,Harvey Keitel|Lou Reed|Michael J. Fox,English
157,1995,Michael Moore,John Candy|Alan Alda|Rhea Perlman,English
158,1995,Brad Silberling,Bill Pullman|Christina Ricci|Cathy Moriarty,English
159,1995,Spike Lee,Harvey Keitel|John Turturro|Delroy Lindo,English
160,1995,Frank Marshall,Laura Linney|Tim Curry|Dylan Walsh,English|American Sign Language
161,1995,Tony Scott,Gene Hackman|Denzel Washington|Matt Craven,English
162,1994,Terry Zwigoff,Robert Crumb|Aline Kominsky|Charles Crumb,English
163,1995,Robert Rodriguez,Antonio Banderas|Salma Hayek|Joaquim de Almeida,English
164,1995,Carl Franklin,Denzel Washington|Tom Sizemore|Jennifer Beals,English
165,1995,John McTiernan,Bruce Willis|Jeremy Irons|Samuel L. Jackson,English|German|Romanian
166,1995,Gregg Araki,James Duval|Rose McGowan|Johnathon Schaech,English
167,1995,Christopher Menaul,Embeth Davidtz|Tom Bell|Gemma Jones,English
168,1995,Jerry Zucker,Sean Connery|Richard Gere|Julia Ormond,English
169,1995,Dwight H. Little,Jason James Richter|Michael Madsen|Francis Capra,English|Malay|Indonesian
170,1995,Iain Softley,Jonny Lee Miller|Angelina Jolie|Jesse Bradford,English|Italian|Japanese|Russian
171,1995,Christopher Ashley,Steven Weber|Michael T. Weiss|Peter Jacobson,English
172,1995,Robert Longo,Keanu Reeves|Dolph Lundgren|Dina Meyer,English|Japanese
173,1995,Danny Cannon,Sylvester Stallone|Armand Assante|Rob Schneider,English
174,1995,John Fortenberry,Pauly Shore|Tia Carrere|Stanley Tucci,English
175,1995,Larry Clark,Leo Fitzpatrick|Justin Pierce|Chloë Sevigny,English
176,1995,Tom DiCillo,Steve Buscemi|Catherine Keener|Dermot Mulroney,English
177,1995,Clive Barker,Scott Bakula|Kevin J. O'Connor|Joseph Latimore,English
178,1993,Denys Arcand,Thomas Gibson|Ruth Marshall|Cameron Bancroft,English
179,1995,Antonia Bird,Chris O'Donnell|Drew Barrymore|Matthew Lillard,English
180,1995,Kevin Smith,Shannen Doherty|Jeremy London|Jason Lee,English
181,1995,Bryan Spicer,Karan Ashley|Johnny Yong Bosch|Steve Cardenas,English
182,1995,David Anspaugh,Elizabeth Perkins|Whoopi Goldberg|Kathleen Turner,English
183,1995,Anthony Waller,Marina Zudina|Fay Ripley|Evan Richards,English|Russian
184,1994,Michael Almereyda,Elina Löwensohn|Peter Fonda|Nic Ratner,English
185,1995,Irwin Winkler,Sandra Bullock|Jeremy Northam|Dennis Miller,English|Spanish
186,1995,Chris Columbus,Hugh Grant|Julianne Moore|Tom Arnold,English|Russian
187,1995,Daisy von Scherler Mayer,Parker Posey|Omar Townsend|Anthony DeSando,English
188,1995,Gregory Widen,Christopher Walken|Elias Koteas|Virginia Madsen,English
189,1995,Norman René,Mia Farrow|Tony Goldwyn|Juana Barrios,English
190,1995,Todd Haynes,Julianne Moore|Xander Berkeley|Dean Norris,English
191,1995,Roland Joffé,Demi Moore|Gary Oldman|Robert Duvall,English
192,1995,Brian Robbins,Craig Mack|Dr. Dre|Afrika Bambaataa,English
193,1995,Paul Verhoeven,Elizabeth Berkley|Kyle MacLachlan|Gina Gershon,English
194,1995,Wayne Wang,Harvey Keitel|William Hurt|Giancarlo Esposito,English
195,1995,Lasse Hallström,Julia Roberts|Dennis Quaid|Robert Duvall,English
196,1995,Roger Donaldson,Natasha Henstridge|Michael Madsen|Ben Kingsley,English
197,1995,James Keach,Robert Duvall|Aidan Quinn|Frances Fisher,English
198,1995,Kathryn Bigelow,Ralph Fiennes|Angela Bassett|Juliette Lewis,English
199,1964,Jacques Demy,Catherine Deneuve|Nino Castelnuovo|Anne Vernon,French
200,1995,Wesley Strick,Daryl Hannah|Keith Carradine|Moira Kelly,English
201,1995,Martha Coolidge,Patrick Swayze|Mary Elizabeth Mastrantonio|Joseph Mazzello,English
202,1995,Agnieszka Holland,Leonardo DiCaprio|David Thewlis|Romane Bohringer,English
203,1995,Beeban Kidron,Wesley Snipes|Patrick Swayze|John Leguizamo,English|French|Italian
204,1995,Geoff Murphy,Steven Seagal|Eric Bogosian|Everett McGill,English
205,1995,Diane Keaton,Andie MacDowell|John Turturro|Michael Richards,English
206,1995,Douglas Keeve,Isaac Mizrahi|Roseanne Barr|Sandra Bernhard,English|French
207,1995,Alfonso Arau,Keanu Reeves|Aitana Sánchez-Gijón|Anthony Quinn,English
208,1995,Kevin Reynolds,Kevin Costner|Jeanne Tripplehorn|Dennis Hopper,English
209,1995,Desmond Nakano,John Travolta|Harry Belafonte|Kelly Lynch,English
210,1995,Walter Hill,Jeff Bridges|Ellen Barkin|John Hurt,English|Sioux|Cantonese
211,1994,Mike Figgis,Albert Finney|Greta Scacchi|Matthew Modine,English
212,1995,Greg Beeman,Daniel Stern|Jon Polito|Brad Sullivan,English
213,1994,Nikita Mikhalkov,Nikita Mikhalkov|Ingeborga Dapkunaite|Oleg Menshikov,Russian|French
214,1994,Milcho Manchevski,Katrin Cartlidge|Rade Serbedzija|Grégoire Colin,Macedonian|English|Albanian|French
215,1995,Richard Linklater,Ethan Hawke|Julie Delpy|Andrea Eckert,English|German|French
216,1995,Tamra Davis,Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras,English|French|Spanish
217,1995,Guy Ferland,Alicia Silverstone|Jeremy London|J.T. Walsh,English
218,1995,Herbert Ross,Whoopi Goldberg|Mary-Louise Parker|Drew Barrymore,English
219,1995,Peter Horton,Joseph Mazzello|Brad Renfro|Aeryk Egan,English
220,1995,Stuart Gordon,Jeffrey Combs|Barbara Crampton|Jonathan Fuller,English|Italian|Swedish
222,1995,Pat O'Connor,Chris O'Donnell|Minnie Driver|Geraldine O'Rawe,English
223,1994,Kevin Smith,Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti,English
224,1994,Jeremy Leven,Johnny Depp|Marlon Brando|Faye Dunaway,English|Spanish
225,1994,Barry Levinson,Michael Douglas|Demi Moore|Donald Sutherland,English
226,1995,René Bonnière,Patsy Kensit|Bruce Greenwood|Andrew McCarthy,English
227,1994,John Badham,Wesley Snipes|Gary Busey|Yancy Butler,English
228,1995,Jack Baran,Dylan McDermott|Nancy Travis|Quentin Tarantino,English
229,1994,Roman Polanski,Sigourney Weaver|Ben Kingsley|Stuart Wilson,English
230,1995,Taylor Hackford,Kathy Bates|Jennifer Jason Leigh|Christopher Plummer,English
231,1994,Peter Farrelly,Jim Carrey|Jeff Daniels|Lauren Holly,English|Swedish|German
232,1994,Ang Lee,Sihung Lung|Yu-Wen Wang|Chien-Lien Wu,Mandarin|French
233,1994,Atom Egoyan,Bruce Greenwood|Elias Koteas|Don McKellar,English|Hebrew
234,1994,Garry Marshall,Dana Delany|Dan Aykroyd|Rosie O'Donnell,English
235,1994,Tim Burton,Johnny Depp|Martin Landau|Sarah Jessica Parker,English
236,1995,Lawrence Kasdan,Meg Ryan|Kevin Kline|Timothy Hutton,English|French
237,1995,Billy Crystal,Billy Crystal|Debra Winger|Joe Mantegna,English
238,1995,Phillip Borsos,Jesse Bradford|Mimi Rogers|Bruce Davison,English
239,1995,Kevin Lima,Bill Farmer|Jason Marsden|Jim Cummings,English
240,1995,Brett Leonard,Jeff Goldblum|Christine Lahti|Alicia Silverstone,English
241,1995,Carlo Carlei,Matthew Modine|Nancy Travis|Samuel L. Jackson,English
242,1994,Gérard Corbiau,Stefano Dionisi|Enrico Lo Verso|Elsa Zylberstein,French|Italian
243,1995,Mark Lewis,Kristy Young|Doug Stone|James Donadio,English
244,1995,Art Clokey,Dal McKennon|Art Clokey|Gloria Clokey,English
245,1994,Charles Burnett,Michael Boatman|Lori Petty|Erich Anderson,English
246,1994,Steve James,William Gates|Arthur Agee|Emma Gates,English
247,1994,Peter Jackson,Melanie Lynskey|Kate Winslet|Sarah Peirse,English|French
248,1995,Randall Miller,Sinbad|Phil Hartman|Kim Greist,English
249,1994,Bernard Rose,Gary Oldman|Jeroen Krabbé|Isabella Rossellini,English
250,1995,Steven Brill,Tom McGowan|Aaron Schwartz|Ben Stiller,English
251,1995,J.F. Lawton,Christopher Lambert|John Lone|Joan Chen,English|Japanese
252,1994,Fred Schepisi,Tim Robbins|Meg Ryan|Walter Matthau,English|German
253,1994,Neil Jordan,Brad Pitt|Tom Cruise|Antonio Banderas,English|French
254,1995,James Ivory,Nick Nolte|Greta Scacchi|Gwyneth Paltrow,English|French
255,1995,James Melkonian,John G. Brennan|Kamal Ahmed|Alan Arkin,English
256,1994,Ivan Reitman,Arnold Schwarzenegger|Danny DeVito|Emma Thompson,English
257,1995,Arne Glimcher,Sean Connery|Laurence Fishburne|Kate Capshaw,English
258,1995,Michael Gottlieb,Thomas Ian Nicholas|Joss Ackland|Art Malik,English
259,1995,Barbet Schroeder,David Caruso|Samuel L. Jackson|Nicolas Cage,English
260,1977,George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher,English
261,1994,Gillian Armstrong,Susan Sarandon|Winona Ryder|Kirsten Dunst,English|German|French
262,1995,Alfonso Cuarón,Liesel Matthews|Eleanor Bron|Liam Cunningham,English|French
263,1994,Ken Loach,Crissy Rock|Vladimir Vega|Sandie Lavelle,English
264,1994,Claude Chabrol,Emmanuelle Béart|François Cluzet|Nathalie Cardone,French
265,1992,Alfonso Arau,Marco Leonardi|Lumi Cavazos|Regina Torné,Spanish|English
266,1994,Edward Zwick,Brad Pitt|Anthony Hopkins|Aidan Quinn,English|Cornish
267,1995,Nick Castle,Damon Wayans|Michael Ironside|Scott Bigelow,English|Vietnamese
268,1994,James Gray,Tim Roth|Edward Furlong|Moira Kelly,English
269,1993,Allison Anders,Angel Aviles|Seidy Lopez|Jacob Vargas,English
270,1994,Glenn Gordon Caron,Warren Beatty|Annette Bening|Katharine Hepburn,English
271,1995,Stephen Gyllenhaal,Jessica Lange|Halle Berry|David Strathairn,English
272,1994,Nicholas Hytner,Nigel Hawthorne|Helen Mirren|Rupert Graves,English
273,1994,Kenneth Branagh,Robert De Niro|Kenneth Branagh|Helena Bonham Carter,English
274,1995,James Orr,Chevy Chase|Farrah Fawcett|Jonathan Taylor Thomas,English
275,1994,Nora Ephron,Steve Martin|Madeline Kahn|Robert Klein,English
276,1994,Richard Benjamin,Melanie Griffith|Ed Harris|Michael Patrick Carter,English
277,1994,Les Mayfield,Richard Attenborough|Elizabeth Perkins|Dylan McDermott,English|American Sign Language|Dutch|Italian|Russian|Swahili
278,1995,David Frankel,Sarah Jessica Parker|Mia Farrow|Antonio Banderas,English
279,1995,Gregory Nava,Jimmy Smits|Esai Morales|Edward James Olmos,English
280,1995,Marc Rocco,Christian Slater|Kevin Bacon|Gary Oldman,English
281,1994,Robert Benton,Paul Newman|Bruce Willis|Jessica Tandy,English
282,1994,Michael Apted,Jodie Foster|Liam Neeson|Natasha Richardson,English
283,1995,Nick Gomez,Shar-Ron Corley|Gabriel Casseus|Saul Stein,English
284,1993,Tôru Murakawa,Tôru Nakamura|Chad McQueen|Mira Sorvino,English
285,1994,Vadim Jean,Craig Fairbrass|Elizabeth Hurley|Keith Allen,English
286,1995,Albert Pyun,Sue Price|Chad Stahelski|Tina Cote,English
287,1994,Alan Jacobs,Laura San Giacomo|Paul Rhys|Michael O'Keefe,English
288,1994,Oliver Stone,Woody Harrelson|Juliette Lewis|Tom Sizemore,English|Navajo|Japanese
289,1994,Norman Jewison,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt,English|Italian
290,1994,Lee Tamahori,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell,English|Maori|Spanish
291,1996,Anne Goursaud,Alyssa Milano|Johnathon Schaech|Xander Berkeley,English
292,1995,Wolfgang Petersen,Dustin Hoffman|Rene Russo|Morgan Freeman,English|Korean|French
293,1994,Luc Besson,Jean Reno|Gary Oldman|Natalie Portman,English|Italian|French
294,1995,Mira Nair,Marisa Tomei|Anjelica Huston|Alfred Molina,English
295,1995,Joshua Brand,William Baldwin|John Leguizamo|Sadie Frost,English
296,1994,Quentin Tarantino,John Travolta|Uma Thurman|Samuel L. Jackson,English|Spanish|French
297,1995,Mario Van Peebles,Kadeem Hardison|Bokeem Woodbine|Joe Don Baker,English
298,1992,Ang Lee,Bo Z. Wang|Sihung Lung|Lai Wang,Mandarin|English
299,1994,Antonia Bird,Linus Roache|Tom Wilkinson|Robert Carlyle,English
300,1994,Robert Redford,Ralph Fiennes|John Turturro|Rob Morrow,English
301,1994,Kayo Hatta,Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa,English|Japanese
302,1994,Patrice Chéreau,Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade,French|Italian
303,1995,Sam Raimi,Sharon Stone|Gene Hackman|Russell Crowe,English|Spanish
304,1995,Peter Yates,Peter Falk|D.B. Sweeney|Julianne Moore,English
305,1994,Robert Altman,Sophia Loren|Julia Roberts|Marcello Mastroianni,English|French|Italian|Russian|Spanish
306,1994,Krzysztof Kieslowski,Irène Jacob|Jean-Louis Trintignant|Frédérique Feder,French
307,1993,Krzysztof Kieslowski,Juliette Binoche|Zbigniew Zamachowski|Julie Delpy,French|Romanian|Polish
308,1994,Krzysztof Kieslowski,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos,Polish|French
309,1994,Ping He,Jing Ning|Gang Wu|Xiaorui Zhao,Mandarin
310,1995,Fred Gerber,Leslie Nielsen|Christopher Lloyd|Matt McCoy,English
311,1994,George Mihalka,Darlanne Fluegel|Martin Neufeld|James Brolin,English
312,1995,Harold Ramis,Al Franken|Laura San Giacomo|Vincent D'Onofrio,English
313,1994,Richard Rich,Jack Palance|Howard McGillin|Michelle Nicastro,English
314,1994,John Sayles,Jeni Courtney|Eileen Colgan|Mick Lally,English|Irish
315,1994,Luis Llosa,Sylvester Stallone|Sharon Stone|James Woods,English
316,1994,Roland Emmerich,Kurt Russell|James Spader|Jaye Davidson,English|Norwegian|Swedish|Egyptian (Ancient)|Arabic
317,1994,John Pasquin,Tim Allen|Judge Reinhold|Wendy Crewson,English|Spanish
318,1994,Frank Darabont,Tim Robbins|Morgan Freeman|Bob Gunton,English
319,1994,Danny Boyle,Kerry Fox|Christopher Eccleston|Ewan McGregor,English
320,1993,Scott McGehee,Dennis Haysbert|Mel Harris|Sab Shimono,English
